Power station,Units,Net Capacity (MWe),Country,Location,Refs
Rostov Nuclear Power Plant,3,2,911,Russia,47°35′58″N 42°22′19″E
Saint-Alban Nuclear Power Plant,2,2,670,France,45°24′16″N 04°45′16″E
Saint-Laurent Nuclear Power Plant,2,1,830,France,47°43′12″N 01°34′39″E
Saint Lucie Nuclear Power Station,2,1,678,United States,27°20′55″N 80°14′47″W
Salem Nuclear Power Plant,2,2,332,United States,39°27′46″N 75°32′08″W
Seabrook Station Nuclear Power Plant,1,1,247,United States,42°53′56″N 70°51′03″W
Sendai Nuclear Power Plant,2,1,692,Japan,31°50′01″N 130°11′23″E
Sequoyah Nuclear Generating Station,2,2,278,United States,35°13′35″N 85°05′30″W
Shika Nuclear Power Plant,2,1,613,Japan,37°03′40″N 136°43′35″E
Shin Kori Nuclear Power Plant,3,3,335,South Korea,35°19′12″N 129°17′47″E
Shin Wolseong Nuclear Power Plant,2,1,960,South Korea,35°43′20″N 129°28′44″E
Sizewell-B Nuclear Power Station,1,1,188,United Kingdom,52°12′48″N 01°37′07″E
Smolensk Nuclear Power Plant,3,2,775,Russia,54°10′09″N 33°14′48″E
South Texas Nuclear Generating Station,2,2,560,United States,28°47′44″N 96°02′56″W
South Ukraine Nuclear Power Plant,3,2,850,Ukraine,47°49′00″N 31°13′00″E
Surry Nuclear Power Plant,2,1,638,United States,37°09′56″N 76°41′52″W
Susquehanna Steam Electric Station,2,2,429,United States,41°05′20″N 76°08′56″W
Takahama Nuclear Power Plant,4,3,220,Japan,35°31′20″N 135°30′17″E
Tarapur Atomic Power Station,4,1,280,India,19°49′40″N 72°39′40″E
Temelin Nuclear Power Station,2,1,926,Czech Republic,49°10′48″N 14°22′34″E
Tianwan Nuclear Power Plant,2,1,980,China,34°41′13″N 119°27′35″E
Tihange Nuclear Power Station,3,3,16,Belgium,50°32′05″N 05°16′21″E
Tokai Nuclear Power Plant,1,1,60,Japan,36°27′59″N 140°36′24″E
Tomari Nuclear Power Plant,3,1,966,Japan,43°02′10″N 140°30′45″E
Torness Nuclear Power Station,2,1,205,United Kingdom,55°58′05″N 02°24′33″W
Tricastin Nuclear Power Center,4,3,660,France,44°19′47″N 04°43′56″E
Trillo Nuclear Power Plant,1,1,3,Spain,40°42′04″N 02°37′19″W
Tsuruga Nuclear Power Plant,1,1,108,Japan,35°40′22″N 136°04′38″E
Turkey Point Nuclear Generating Station,2,1,386,United States,25°26′03″N 80°19′50″W
Vandellòs Nuclear Power Station,1,1,45,Spain,40°57′05″N 00°52′00″E
Vogtle Electric Generating Plant,2,2,302,United States,33°08′35″N 81°45′57″W
Waterford Nuclear Generating Station,1,1,168,United States,29°59′43″N 90°28′16″W
Watts Bar Nuclear Generating Station,1,1,123,United States,35°36′10″N 84°47′22″W
Wolf Creek Generating Station,1,1,160,United States,38°14′20″N 95°41′20″W
Wolseong Nuclear Power Plant,4,2,722,South Korea,35°42′40″N 129°28′30″E
Yangjiang Nuclear Power Plant,3,3,0,China,21°42′35″N 112°15′38″E
Zaporizhzhia Nuclear Power Plant,6,5,700,Ukraine,47°30′44″N 34°35′09″E
