PowerStation,CapacityMWe,Units,Country
Tihange Nuclear Power Station,3016,3,Belgium
Tokai Nuclear Power Plant,1060,1,Japan
Tomari Nuclear Power Plant,1966,3,Japan
Torness Nuclear Power Station,1205,2,United Kingdom
Tricastin Nuclear Power Center,3660,4,France
Trillo Nuclear Power Plant,1003,1,Spain
Tsuruga Nuclear Power Plant,1448,2,Japan
Turkey Point Nuclear Generating Station,1386,2,United States
Vandell?s Nuclear Power Station,1045,1,Spain
Vogtle Electric Generating Plant,2302,2,United States
Waterford Nuclear Generating Station,1168,1,United States
Watts Bar Nuclear Generating Station,1123,1,United States
Wolf Creek Generating Station,1160,1,United States
Wolseong Nuclear Power Plant,2722,4,South Korea
Yangjiang Nuclear Power Plant,1000,1,China
Zaporizhzhia Nuclear Power Plant,6000,6,Ukraine
